,real,predicted
85,12.420000076293945,12.779031
86,12.859999656677246,12.818227
87,13.449999809265137,13.090872
88,13.369999885559082,13.669618
89,13.15999984741211,13.662406
90,13.010000228881834,13.350569
91,13.079999923706055,13.304656
92,12.970000267028809,13.334686
93,12.77000045776367,13.19552
94,12.649999618530273,13.017174
95,12.84000015258789,13.0076885
96,13.109999656677246,13.252469
97,13.11999988555908,13.573817
98,12.710000038146974,13.54588
99,12.869999885559084,13.313262
100,12.960000038146973,13.48607
101,12.90999984741211,13.480361
102,13.0,13.409245
103,12.109999656677246,13.5887785
104,12.109999656677246,12.749239
105,11.890000343322754,12.516458
106,12.119999885559082,12.189888
107,11.649999618530275,12.5075865
108,11.800000190734863,12.157483
109,11.920000076293945,12.3506565
110,11.439999580383299,12.456762
111,11.59000015258789,12.042483
112,11.369999885559082,12.112292
113,11.029999732971191,11.881623
114,10.850000381469727,11.626439
115,10.779999732971191,11.312268
116,10.390000343322754,11.378421
117,10.5600004196167,11.0604315
118,10.550000190734863,11.093541
119,10.5,11.187189
120,10.59000015258789,11.077605
121,10.520000457763672,11.2724495
122,10.960000038146973,11.298739
123,11.050000190734863,11.612531
124,11.649999618530275,11.630665
125,11.579999923706055,12.247929
126,11.350000381469727,12.179225
127,11.439999580383299,12.104413
128,11.539999961853027,11.985352
129,11.859999656677246,11.939437
130,11.300000190734865,12.206661
131,11.180000305175781,11.8185215
132,11.170000076293945,11.549767
133,11.039999961853027,11.553229
134,10.420000076293945,11.452636
135,10.5600004196167,10.851985
136,10.59000015258789,10.901539
137,10.680000305175781,10.997477
138,10.529999732971191,11.082192
139,10.800000190734863,11.019624
140,10.350000381469727,11.260889
141,10.579999923706055,10.884153
142,10.829999923706055,10.939644
143,10.789999961853027,11.215703
144,10.699999809265137,11.232046
145,10.90999984741211,11.158636
146,11.630000114440916,11.34072
147,11.859999656677246,12.043174
148,11.739999771118164,12.232012
149,11.970000267028809,12.123634
150,12.020000457763672,12.286794
151,11.890000343322754,12.360074
152,11.59000015258789,12.182799
153,11.65999984741211,11.951918
154,11.760000228881838,12.034232
155,11.800000190734863,12.116574
156,11.249999999999998,12.093821
157,11.479999542236328,11.653423
158,11.680000305175783,11.80535
159,11.329999923706053,12.072911
160,11.510000228881836,11.802372
161,11.829999923706055,11.927816
162,12.489999771118166,12.315329
163,12.439999580383299,13.000033
164,12.5600004196167,12.840685
165,12.550000190734862,12.9614105
166,12.779999732971191,12.929587
167,12.829999923706055,13.164461
168,13.0,13.272344
169,12.8100004196167,13.318873
170,13.319999694824219,13.194188
171,13.489999771118164,13.743853
172,13.5600004196167,13.97016
173,13.390000343322752,13.915446
174,13.210000038146973,13.729198
175,12.859999656677246,13.691519
176,13.180000305175781,13.307431
177,13.659999847412108,13.619555
178,13.350000381469727,13.971749
179,13.319999694824219,13.688255
180,14.300000190734863,13.644294
181,14.420000076293944,14.566801
182,14.460000038146973,14.656013
183,14.40999984741211,14.697335
184,14.739999771118166,14.668228
185,14.699999809265137,15.0084095
186,14.899999618530275,15.039512
187,14.609999656677246,15.217781
188,15.220000267028809,14.931349
189,14.710000038146973,15.464781
190,14.619999885559082,15.090547
191,14.729999542236328,15.024289
192,14.640000343322754,14.983574
193,14.199999809265135,14.994049
194,14.430000305175781,14.6127825
195,14.050000190734863,14.813831
196,14.0600004196167,14.383351
197,13.949999809265137,14.525973
198,14.640000343322754,14.4108715
199,14.609999656677246,15.068247
